time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,phase_switched
460,C1,0,29.0,-13.0,42.0,1
470,A1,2,39.0,38.0,1.0,1
470,B0,0,27.0,13.0,14.0,0
470,B1,0,87.0,78.0,9.0,1
470,B2,0,-17.0,-23.0,6.0,1
470,C1,0,45.0,-9.0,54.0,0
480,A1,0,52.0,37.0,15.0,1
480,B0,0,63.0,56.0,7.0,0
480,B1,2,84.0,0.0,84.0,1
480,B2,2,9.0,-5.0,14.0,1
480,C1,0,49.0,-3.0,52.0,0
490,A1,2,48.0,44.0,4.0,1
490,B0,2,82.0,81.0,1.0,1
490,B1,2,71.0,0.0,71.0,0
490,B2,0,41.0,39.0,2.0,1
490,C1,0,59.0,16.0,43.0,0
500,A1,0,72.0,31.0,41.0,1
500,B0,0,69.0,38.0,31.0,1
500,B1,2,81.0,0.0,81.0,0
500,B2,0,55.0,47.0,8.0,0
500,C1,0,62.0,44.0,18.0,0
510,A1,0,40.0,22.0,18.0,0
510,B0,0,63.0,11.0,52.0,0
510,B1,2,90.0,0.0,90.0,0
510,B2,0,53.0,24.0,29.0,0
510,C1,2,72.0,70.0,2.0,1
520,A1,0,40.0,16.0,24.0,0
520,B0,0,63.0,-2.0,65.0,0
520,B1,2,97.0,61.0,36.0,0
520,B2,0,12.0,6.0,6.0,0
520,C1,0,86.0,64.0,22.0,1
530,A1,0,8.0,2.0,6.0,0
530,B0,0,38.0,3.0,35.0,0
530,B1,0,141.0,132.0,9.0,1
530,B2,0,4.0,-17.0,21.0,0
530,C1,0,70.0,38.0,32.0,0
540,A1,0,1.0,-1.0,2.0,0
540,B0,2,36.0,28.0,8.0,1
540,B1,2,124.0,55.0,69.0,1
540,B2,2,16.0,5.0,11.0,1
540,C1,0,75.0,34.0,41.0,0
550,A1,2,16.0,15.0,1.0,1
550,B0,0,38.0,30.0,8.0,1
550,B1,2,135.0,27.0,108.0,0
550,B2,0,15.0,3.0,12.0,1
550,C1,0,88.0,38.0,50.0,0
560,A1,0,41.0,20.0,21.0,1
560,B0,0,15.0,0.0,15.0,0
560,B1,2,107.0,60.0,47.0,0
560,B2,0,39.0,5.0,34.0,0
560,C1,0,98.0,71.0,27.0,0
570,A1,0,59.0,19.0,40.0,0
570,B0,0,24.0,-10.0,34.0,0
570,B1,2,103.0,76.0,27.0,0
570,B2,0,74.0,20.0,54.0,0
570,C1,0,97.0,92.0,5.0,0
580,A1,0,68.0,18.0,50.0,0
580,B0,0,22.0,-4.0,26.0,0
580,B1,2,87.0,62.0,25.0,0
580,B2,0,52.0,31.0,21.0,0
580,C1,0,95.0,92.0,3.0,0
590,A1,0,61.0,14.0,47.0,0
590,B0,0,7.0,7.0,0.0,0
590,B1,0,85.0,81.0,4.0,1
590,B2,0,28.0,22.0,6.0,0
590,C1,0,103.0,97.0,6.0,0
600,A1,0,45.0,16.0,29.0,0
600,B0,2,33.0,19.0,14.0,1
600,B1,2,70.0,30.0,40.0,1
600,B2,0,40.0,19.0,21.0,0
600,C1,2,99.0,83.0,16.0,1
610,A1,0,69.0,59.0,10.0,0
610,B0,0,40.0,0.0,40.0,1
610,B1,2,56.0,36.0,20.0,0
610,B2,0,52.0,41.0,11.0,0
610,C1,0,81.0,60.0,21.0,1
620,A1,0,74.0,72.0,2.0,0
620,B0,0,54.0,-13.0,67.0,0
620,B1,0,56.0,42.0,14.0,1
620,B2,0,49.0,36.0,13.0,0
620,C1,2,42.0,29.0,13.0,1
630,A1,0,73.0,70.0,3.0,0
630,B0,0,53.0,-5.0,58.0,0
630,B1,2,71.0,66.0,5.0,1
630,B2,0,40.0,25.0,15.0,0
630,C1,0,53.0,29.0,24.0,1
640,A1,0,73.0,71.0,2.0,0
640,B0,0,76.0,13.0,63.0,0
