time,tls,selected_phase,max_queue,avg_queue,phase_switched
947,C1,3,38,22.833333333333332,1
948,B0,3,37,23.5,1
960,A1,3,38,12.666666666666666,1
960,B1,3,37,29.75,1
962,B2,3,37,16.666666666666668,1
962,C1,1,37,17.666666666666668,1
963,B0,1,36,23,1
975,A1,1,36,12.5,1
975,B1,1,37,31.25,1
977,B2,1,38,16.5,1
977,C1,3,37,18,1
978,B0,3,38,24,1
990,A1,3,37,13.5,1
990,B1,3,37,30.75,1
992,B2,3,38,16.666666666666668,1
992,C1,1,33,16.5,1
993,B0,1,38,23.5,1
1005,A1,1,37,12.833333333333334,1
1005,B1,1,35,27.75,1
1007,B2,1,38,16.5,1
1007,C1,3,36,19.166666666666668,1
1008,B0,3,38,24.166666666666668,1
1020,A1,3,37,13.166666666666666,1
1020,B1,3,33,27.125,1
1022,B2,3,38,16.666666666666668,1
1022,C1,1,37,20.5,1
1023,B0,1,38,22,1
1035,A1,1,37,13,1
1035,B1,1,36,30,1
1037,B2,1,38,16.5,1
1037,C1,3,37,20.166666666666668,1
1038,B0,3,37,23.166666666666668,1
1050,A1,3,37,13,1
1050,B1,3,35,27.625,1
1052,B2,3,38,16.833333333333332,1
1052,C1,1,37,20.333333333333332,1
1053,B0,1,37,23.166666666666668,1
1065,A1,1,38,14.833333333333334,1
1065,B1,1,37,29.875,1
1067,B2,1,38,16.5,1
1067,C1,3,37,21.833333333333332,1
1068,B0,3,37,23.166666666666668,1
1080,A1,3,38,15.666666666666666,1
1080,B1,3,36,29.125,1
1082,B2,3,38,14.5,1
1082,C1,1,37,19.333333333333332,1
1083,B0,1,37,23.666666666666668,1
1095,A1,1,38,15.5,1
1095,B1,1,37,32.625,1
1097,B2,1,29,9.833333333333334,1
1097,C1,3,37,20,1
1098,B0,3,37,23.166666666666668,1
1110,A1,3,38,15.833333333333334,1
1110,B1,3,37,31.375,1
1112,B2,3,26,8.166666666666666,1
1112,C1,1,37,19.333333333333332,1
1113,B0,1,38,23.5,1
1125,A1,1,38,15.833333333333334,1
1125,B1,1,37,32.375,1
1127,B2,1,25,8.666666666666666,1
1127,C1,3,37,19.5,1
1128,B0,3,35,20.166666666666668,1
1140,A1,3,38,16.5,1
1140,B1,3,37,33.375,1
1142,B2,3,35,11.5,1
1142,C1,1,37,19.666666666666668,1
1143,B0,1,26,14,1
