time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,beta,gamma,phase_switched
220,C1,0,43.274193548387096,31.738095238095237,11.536098310291859,33,27.5,0.3225806451612903,0.5,0
221,C1,0,45.3,34.14285714285714,11.157142857142858,36,30,0.3,0.5,0
222,C1,0,44.85483870967742,32.64285714285714,12.211981566820285,39,32.5,0.3870967741935484,0.5,0
223,C1,0,47.096774193548384,36.23809523809524,10.858678955453144,42,35,0.3548387096774194,0.5,0
224,C1,0,48.596774193548384,36.73809523809524,11.858678955453144,45,37.5,0.3548387096774194,0.5,0
225,C1,0,48.54838709677419,35.95238095238095,12.596006144393243,48,40,0.41935483870967744,0.5,0
226,C1,0,46.17741935483871,33.30952380952381,12.867895545314902,51,42.5,0.5483870967741935,0.5,0
227,B1,2,54.28611111111111,0.0,54.28611111111111,3,1.5,0.4861111111111111,0.1,1
227,B2,0,24.900000000000002,2.2,22.700000000000003,3,2.5,0.3,0.1,1
227,C1,0,50.67741935483871,37.66666666666667,13.01075268817204,54,45,0.45161290322580644,0.5,0
228,C1,0,52.17741935483871,43.33333333333333,8.844086021505383,57,47.5,0.45161290322580644,0.5,0
229,B0,2,28.400000000000002,17.400000000000002,11.0,3,2.5,0.3,0.1,1
229,C1,0,56.06060606060606,47.24,8.82060606060606,60,50,0.42424242424242425,0.5,0
230,C1,0,56.04838709677419,47.458333333333336,8.590053763440856,63,52.5,0.41935483870967744,0.5,0
231,A1,2,9.405263157894737,0.0,9.405263157894737,3,2.5,0.6842105263157895,0.1,1
231,C1,0,62.885714285714286,53.66666666666667,9.219047619047615,66,55,0.34285714285714286,0.5,0
232,C1,0,64.80555555555556,56.35714285714286,8.448412698412696,69,57.5,0.3611111111111111,0.5,0
233,C1,0,66.0,61.66666666666667,4.333333333333329,72,60,0.3,0.5,0
234,C1,0,68.8,63.8,5.0,75,62.5,0.3,0.5,0
235,C1,0,65.09677419354838,64.66666666666667,0.43010752688171294,78,65,0.3548387096774194,0.5,0
242,B1,0,27.421212121212125,0.0,27.421212121212125,3,1.5,0.7575757575757576,0.1,1
242,B2,2,23.33448275862069,0.599999999999999,22.734482758620693,3,2.5,0.41379310344827586,0.1,1
244,B0,0,22.97857142857143,7.7375,15.24107142857143,3,2.5,0.39285714285714285,0.1,1
246,A1,0,13.442857142857143,0.0,13.442857142857143,3,2.5,0.5714285714285714,0.1,1
250,C1,2,37.5,0.0,37.5,3,2.5,0.3,0.1,1
257,B1,2,96.12242990654205,0.0,96.12242990654205,3,1.5,0.308411214953271,0.1,1
257,B2,0,36.199999999999996,6.2,29.999999999999996,3,2.5,0.3,0.1,1
259,B0,0,33.0,21.0,12.0,3,2.5,0.3,0.1,0
260,B0,0,33.0,24.3,8.7,6,5,0.3,0.1,0
261,A1,2,6.766666666666665,0.0,6.766666666666665,3,2.5,0.8666666666666667,0.1,1
261,B0,0,37.75,27.75,10.0,9,7.5,0.3,0.15,0
262,B0,0,37.5,31.5,6.0,12,10,0.3,0.2,0
263,B0,0,43.25,36.55,6.700000000000003,15,12.5,0.3,0.25,0
264,B0,0,46.9,36.9,10.0,18,15,0.3,0.3,0
265,B0,0,47.85,41.85,6.0,21,17.5,0.3,0.35,0
265,C1,0,31.002702702702702,0.0,31.002702702702702,3,2.5,0.3783783783783784,0.1,1
266,B0,0,46.800000000000004,45.1,1.7000000000000028,24,20,0.3,0.4,0
267,B0,0,52.05,50.05,2.0,27,22.5,0.3,0.45,0
268,B0,0,58.2,54.2,4.0,30,25,0.3,0.5,0
269,B0,0,61.8,58.1,3.6999999999999957,33,27.5,0.3,0.5,0
270,B0,0,63.6,59.6,4.0,36,30,0.3,0.5,0
271,B0,0,64.8,60.8,4.0,39,32.5,0.3,0.5,0
272,B0,0,66.0,62.3,3.700000000000003,42,35,0.3,0.5,0
272,B1,2,87.91538461538461,50.254022988505746,37.661361626878865,3,1.5,0.38461538461538464,0.1,0
272,B2,2,8.437931034482759,0.0,8.437931034482759,3,2.5,0.8275862068965517,0.1,1
