time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,phase_switched
63,C1,0,47.9,37.699999999999996,10.200000000000003,162,76.5,0
64,B0,0,54.0,37.0,17.0,180,85,0
64,C1,0,54.3,41.3,13.0,180,85,0
65,B0,0,58.699999999999996,39.9,18.799999999999997,198,93.5,0
65,C1,0,60.0,45.9,14.100000000000001,198,93.5,0
66,B0,0,64.8,44.199999999999996,20.6,216,102,0
66,C1,0,63.4,47.8,15.600000000000001,216,102,0
67,B0,0,70.2,47.8,22.400000000000006,234,110.5,0
67,C1,0,68.10000000000001,50.699999999999996,17.400000000000013,234,110.5,0
68,B0,0,74.89999999999999,50.699999999999996,24.199999999999996,252,119,0
68,C1,0,74.8,58.3,16.5,252,119,0
69,B0,0,81.0,55.0,26.0,270,127.5,0
69,C1,0,78.9,60.9,18.000000000000007,270,127.5,0
70,A1,0,19.7,2.8999999999999995,16.8,18,8.5,1
70,B0,0,86.39999999999999,58.599999999999994,27.799999999999997,288,136,0
70,B2,0,13.399999999999999,3.5999999999999996,9.799999999999999,18,8.5,1
70,C1,0,83.6,63.8,19.799999999999997,288,136,0
71,B0,0,92.1,61.49999999999999,30.6,306,144.5,0
71,C1,0,88.89999999999999,70.0,18.89999999999999,306,144.5,0
72,B0,0,97.2,66.8,30.400000000000006,324,153,0
72,C1,0,93.0,75.6,17.400000000000006,324,153,0
73,B0,0,102.6,69.39999999999999,33.2,342,161.5,0
73,C1,0,97.69999999999999,78.5,19.19999999999999,342,161.5,0
74,B0,0,108.3,72.3,36.0,360,170,0
74,C1,0,103.4,85.1,18.30000000000001,360,170,0
75,B0,0,113.39999999999999,76.6,36.8,378,178.5,0
75,C1,0,107.8,88.0,19.799999999999997,378,178.5,0
76,B0,0,118.8,81.2,37.599999999999994,396,187,0
76,B1,2,25.3,4.5,20.8,26,13,1
76,C1,0,113.2,91.60000000000001,21.599999999999994,396,187,0
77,B0,0,124.19999999999999,83.8,40.39999999999999,414,195.5,0
77,C1,0,120.29999999999998,97.6,22.69999999999999,414,195.5,0
78,B0,0,129.6,87.39999999999999,42.2,432,204,0
78,C1,0,126.1,101.89999999999999,24.200000000000003,432,204,0
79,B0,0,136.0,92.0,44.0,450,212.5,0
79,C1,0,132.9,106.9,26.0,450,212.5,0
80,B0,0,140.4,94.6,45.80000000000001,468,221,0
80,C1,0,139.3,111.19999999999999,28.100000000000023,468,221,0
85,A1,0,9.7,8.6,1.0999999999999996,18,8.5,0
85,B2,2,13.700000000000001,0.5,13.200000000000001,18,8.5,1
86,A1,0,17.799999999999997,13.2,4.599999999999998,36,17,0
87,A1,0,25.2,17.799999999999997,7.400000000000002,54,25.5,0
